Name of Account, Dollar Value in Millions, Date (yymmdd)
"Federal Salaries",248,120315
"Food and Nutrition Service",404,120315
"GSA programs",146,120315
"Health and Human Services Grants",435,120315
"Housing and Urban Development programs",148,120315
"Interest on Treasury Securities",1115,120315
"Justice Department programs",36,120315
"Labor Dept. prgms",56,120315
"Medicaid",1836,120315
"Medicare",1284,120315
"NASA programs",63,120315
"Postal Service Money Orders and Other",117,120315
"Public Debt Cash Redemp.",136457,120315
"Social Security Benefits",46,120315
"Supple. Nutrition Assist. Program",35,120315
"Transportation Security Admin.",1,120315
"Unemployment Insurance Benefits",305,120315
"Veterans Affairs programs",160,120315
"IRS Tax Refunds Individual",1267,120315
"Military Active Duty Pay",2890,120315
"Unclassified",2239,120315
"Total, Other Withdrawals",6807,120315
"Transfers to Depositaries",0,120315
"Commodity Credit Corporation programs",14,120314
"Defense Vendor Payments",1222,120314
"Education Department programs",744,120314
"Energy Department programs",158,120314
"Federal Employees Insurance Payments",284,120314
"Fed. Highway Administration programs",103,120314
"Federal Salaries",52,120314
"Food and Nutrition Service",468,120314
"GSA programs",62,120314
"Health and Human Services Grants",402,120314
"Housing and Urban Development programs",293,120314
"Interest on Treasury Securities",1,120314
"Justice Department programs",36,120314
"Labor Dept. prgms",65,120314
"Medicaid",791,120314
"Medicare",1485,120314
"NASA programs",39,120314
"Postal Service Money Orders and Other",98,120314
"Public Debt Cash Redemp.",794,120314
"Social Security Benefits",10539,120314
"Supple. Nutrition Assist. Program",77,120314
"Transportation Security Admin.",1,120314
"Unemployment Insurance Benefits",512,120314
"Veterans Affairs programs",155,120314
"IRS Tax Refunds Business",104,120314
"IRS Tax Refunds Individual",5654,120314
"Unclassified",1659,120314
"Total, Other Withdrawals",7636,120314
"Transfers to Depositaries",0,120314
"Commodity Credit Corporation programs",35,120313
"Defense Vendor Payments",1484,120313
"Education Department programs",737,120313
"Energy Department programs",122,120313
"Federal Employees Insurance Payments",467,120313
"Fed. Highway Administration programs",109,120313
"Federal Salaries",172,120313
"Food and Nutrition Service",386,120313
"GSA programs",62,120313
"Health and Human Services Grants",281,120313
"Housing and Urban Development programs",130,120313
"Interest on Treasury Securities",1,120313
"Justice Department programs",70,120313
"Labor Dept. prgms",26,120313
"Medicaid",1375,120313
"Medicare",1187,120313
"NASA programs",40,120313
"Postal Service Money Orders and Other",147,120313
"Public Debt Cash Redemp.",787,120313
"Social Security Benefits",41,120313
"Supple. Nutrition Assist. Program",19,120313
"Transportation Security Admin.",1,120313
"Unemployment Insurance Benefits",608,120313
"Veterans Affairs programs",128,120313
"IRS Tax Refunds Individual",1788,120313
"Unclassified",1810,120313
"Total, Other Withdrawals",3850,120313
"Transfers to Depositaries",0,120313
"Commodity Credit Corporation programs",23,120312
"Defense Vendor Payments",1303,120312
"Education Department programs",995,120312
"Energy Department programs",127,120312
"Federal Employees Insurance Payments",345,120312
"Fed. Highway Administration programs",40,120312
"Federal Salaries",59,120312
"Food and Nutrition Service",975,120312
"GSA programs",43,120312
"Health and Human Services Grants",301,120312
"Housing and Urban Development programs",148,120312
"Interest on Treasury Securities",1,120312
"Justice Department programs",78,120312
"Labor Dept. prgms",47,120312
"Medicaid",953,120312
"Medicare",1238,120312
"NASA programs",103,120312
"Postal Service Money Orders and Other",201,120312
"Public Debt Cash Redemp.",833,120312
"Social Security Benefits",43,120312
"Supple. Nutrition Assist. Program",25,120312
"Transportation Security Admin.",1,120312
"Unemployment Insurance Benefits",367,120312
"Veterans Affairs programs",208,120312
"Federal Financing Bank",191,120312
"IRS Tax Refunds Business",559,120312
"IRS Tax Refunds Individual",1826,120312
"Unclassified",1545,120312
"Total, Other Withdrawals",4185,120312
"Transfers to Depositaries",0,120312
"Commodity Credit Corporation programs",46,120309
"Defense Vendor Payments",1555,120309
"Education Department programs",699,120309
"Energy Department programs",164,120309
"Federal Employees Insurance Payments",159,120309
"Fed. Highway Administration programs",89,120309
"Federal Salaries",87,120309
"Food and Nutrition Service",398,120309
"GSA programs",21,120309
"Health and Human Services Grants",306,120309
"Housing and Urban Development programs",147,120309
"Interest on Treasury Securities",1,120309
"Justice Department programs",73,120309
"Labor Dept. prgms",137,120309
"Medicaid",840,120309
"Medicare",1300,120309
"NASA programs",98,120309
"Postal Service Money Orders and Other",143,120309
"Public Debt Cash Redemp.",901,120309
"Social Security Benefits",47,120309
"Supple. Nutrition Assist. Program",10,120309
"Transportation Security Admin.",1,120309
"Unemployment Insurance Benefits",182,120309
"Veterans Affairs programs",142,120309
"Federal Financing Bank",140,120309
"IRS Tax Refunds Business",282,120309
"IRS Tax Refunds Individual",2009,120309
"Unclassified",1582,120309
"Total, Other Withdrawals",4612,120309
"Transfers to Depositaries",0,120309
"Commodity Credit Corporation programs",21,120307
"Defense Vendor Payments",890,120307
"Education Department programs",619,120307
"Energy Department programs",79,120307
"Federal Employees Insurance Payments",251,120307
"Fed. Highway Administration programs",132,120307
"Federal Salaries",79,120307
"Food and Nutrition Service",388,120307
"GSA programs",58,120307
"Health and Human Services Grants",313,120307
"Housing and Urban Development programs",190,120307
"Interest on Treasury Securities",1,120307
"Justice Department programs",35,120307
"Labor Dept. prgms",38,120307
"Medicaid",826,120307
"Medicare",1284,120307
"NASA programs",37,120307
"Postal Service Money Orders and Other",174,120307
"Public Debt Cash Redemp.",782,120307
"Social Security Benefits",58,120307
"Supple. Nutrition Assist. Program",9,120307
"Transportation Security Admin.",1,120307
"Unemployment Insurance Benefits",489,120307
"Veterans Affairs programs",147,120307
"Emergency Prep &",56,120307
"Federal Financing Bank",186,120307
"IRS Tax Refunds Individual",7152,120307
"Unclassified",1943,120307
"Total, Other Withdrawals",9542,120307
"Transfers to Depositaries",0,120307
"Commodity Credit Corporation programs",20,120306
"Defense Vendor Payments",1026,120306
"Education Department programs",444,120306
"Energy Department programs",99,120306
"Federal Employees Insurance Payments",245,120306
"Fed. Highway Administration programs",139,120306
"Federal Salaries",152,120306
"Food and Nutrition Service",444,120306
"GSA programs",45,120306
"Health and Human Services Grants",308,120306
"Housing and Urban Development programs",151,120306
"Interest on Treasury Securities",1,120306
"Justice Department programs",89,120306
"Labor Dept. prgms",36,120306
"Medicaid",1212,120306
"Medicare",1507,120306
"NASA programs",47,120306
"Postal Service Money Orders and Other",229,120306
"Public Debt Cash Redemp.",781,120306
"Social Security Benefits",31,120306
"Supple. Nutrition Assist. Program",9,120306
"Transportation Security Admin.",1,120306
"Unemployment Insurance Benefits",636,120306
"Veterans Affairs programs",163,120306
"Federal Crop Ins. Corp.",50,120306
"IRS Tax Refunds Business",236,120306
"IRS Tax Refunds Individual",2393,120306
"Veterans Benefits",65,120306
"Unclassified",2851,120306
"Total, Other Withdrawals",5997,120306
"Transfers to Depositaries",0,120306
"Commodity Credit Corporation programs",31,120305
"Defense Vendor Payments",1924,120305
"Education Department programs",708,120305
"Energy Department programs",106,120305
"Federal Employees Insurance Payments",159,120305
"Fed. Highway Administration programs",65,120305
"Federal Salaries",1386,120305
"Food and Nutrition Service",737,120305
"GSA programs",76,120305
"Health and Human Services Grants",334,120305
"Housing and Urban Development programs",172,120305
"Interest on Treasury Securities",1,120305
"Justice Department programs",122,120305
"Labor Dept. prgms",42,120305
"Medicaid",925,120305
"Medicare",1138,120305
"NASA programs",84,120305
"Postal Service Money Orders and Other",293,120305
"Public Debt Cash Redemp.",797,120305
"Social Security Benefits",43,120305
"Supple. Nutrition Assist. Program",19,120305
"Transportation Security Admin.",2,120305
"Unemployment Insurance Benefits",342,120305
"Veterans Affairs programs",232,120305
"IRS Tax Refunds Individual",2014,120305
"Treasury Department programs",101,120305
"Unclassified",3178,120305
"Total, Other Withdrawals",5739,120305
"Transfers to Depositaries",0,120305
"Commodity Credit Corporation programs",24,120302
"Defense Vendor Payments",609,120302
"Education Department programs",573,120302
"Energy Department programs",209,120302
"Federal Employees Insurance Payments",152,120302
"Fed. Highway Administration programs",146,120302
"Federal Salaries",3794,120302
"Food and Nutrition Service",246,120302
"GSA programs",24,120302
"Health and Human Services Grants",332,120302
"Housing and Urban Development programs",220,120302
"Interest on Treasury Securities",2,120302
"Justice Department programs",68,120302
"Labor Dept. prgms",61,120302
"Medicaid",392,120302
"Medicare",1358,120302
"NASA programs",87,120302
"Postal Service Money Orders and Other",159,120302
"Public Debt Cash Redemp.",822,120302
"Social Security Benefits",23107,120302
"Supple. Nutrition Assist. Program",39,120302
"Transportation Security Admin.",1,120302
"Unemployment Insurance Benefits",171,120302
"Veterans Affairs programs",164,120302
"IRS Tax Refunds Business",52,120302
"IRS Tax Refunds Individual",1714,120302
"Supple. Security Income Benefits",86,120302
"Unclassified",1964,120302
"Total, Other Withdrawals",4313,120302
"Transfers to Depositaries",0,120302
"Commodity Credit Corporation programs",22,120301
"Defense Vendor Payments",1629,120301
"Education Department programs",572,120301
"Energy Department programs",152,120301
"Federal Employees Insurance Payments",179,120301
"Fed. Highway Administration programs",112,120301
"Federal Salaries",434,120301
"Food and Nutrition Service",145,120301
"GSA programs",516,120301
"Health and Human Services Grants",516,120301
"Housing and Urban Development programs",2571,120301
"Interest on Treasury Securities",152,120301
"Justice Department programs",14,120301
"Labor Dept. prgms",71,120301
"Medicaid",2215,120301
"Medicare",16796,120301
"NASA programs",0,120301
"Postal Service Money Orders and Other",131,120301
"Public Debt Cash Redemp.",95994,120301
"Social Security Benefits",266,120301
"Supple. Nutrition Assist. Program",16,120301
"Transportation Security Admin.",0,120301
"Unemployment Insurance Benefits",311,120301
"Veterans Affairs programs",479,120301
"Civil Service Retirement",4840,120301
"IRS Tax Refunds Individual",1889,120301
"Military Active Duty Pay",3917,120301
"Military Retirement",3932,120301
"Railroad Retirement",933,120301
"Supple. Security Income Benefits",3301,120301
"Veterans Benefits",4033,120301
"Unclassified",1094,120301
"Total, Other Withdrawals",24753,120301
"Transfers to Depositaries",0,120301
"Commodity Credit Corporation programs",25,120229
"Defense Vendor Payments",1512,120229
"Education Department programs",620,120229
"Energy Department programs",283,120229
"Federal Employees Insurance Payments",317,120229
"Fed. Highway Administration programs",92,120229
"Federal Salaries",87,120229
"Food and Nutrition Service",216,120229
"GSA programs",162,120229
"Health and Human Services Grants",686,120229
"Housing and Urban Development programs",112,120229
"Interest on Treasury Securities",5997,120229
"Justice Department programs",14,120229
"Labor Dept. prgms",36,120229
"Medicaid",681,120229
"Medicare",1633,120229
"NASA programs",0,120229
"Postal Service Money Orders and Other",293,120229
"Public Debt Cash Redemp.",62555,120229
"Social Security Benefits",0,120229
"Supple. Nutrition Assist. Program",19,120229
"Transportation Security Admin.",0,120229
"Unemployment Insurance Benefits",501,120229
"Veterans Affairs programs",135,120229
"IRS Tax Refunds Business",218,120229
"IRS Tax Refunds Individual",10499,120229
"Unclassified",1080,120229
"Total, Other Withdrawals",13389,120229
"Transfers to Depositaries",0,120229
"Commodity Credit Corporation programs",30,120228
"Defense Vendor Payments",1754,120228
"Education Department programs",725,120228
